,Tit_pag,link_pag
60,Formato de Pago de Admisión,http://www.cseuami.org/documentos/posgrado/formatos/Formato_pago_ad_pos.pdf
61, Solicitud de UEA,http://www.cseuami.org/documentos/posgrado/formatos/FORMATO Solicitud de UEA.pdf
62,"

                                        Egreso                
",http://www.cseuami.org/index.php/egreso
63,Solicitud de Revisión de Estudios,http://www.cseuami.org/documentos/posgrado/formatos/revision_estudios_posgrado1.pdf
64,Formato para pagos de Posgrado,http://www.cseuami.org/documentos/posgrado/formatos/Formato_pago_tramites_posgrado4.pdf
65,Solicitud de Registro para Obtención de Grado,http://www.cseuami.org/documentos/posgrado/formatos/FORMATO-Solicitud-Examen-de-Grado.pdf
66,"

                                        Cursos                
",http://www.cseuami.org/index.php/cursos-posgrado
67,Ing. Química,http://www.cseuami.org/documentos/posgrado/cursos/114.txt
68,Ing. Biomédica,http://www.cseuami.org/documentos/posgrado/cursos/115.txt
69,Ciencias y Tecnologías de la Información,http://www.cseuami.org/documentos/posgrado/cursos/143.txt
70,Energía y Medio Ambiente,http://www.cseuami.org/documentos/posgrado/cursos/157.txt
71,Biología de la Reproducción Animal,http://www.cseuami.org/documentos/posgrado/cursos/59.txt
72,Biotecnología,http://www.cseuami.org/documentos/posgrado/cursos/61.txt
73,Especialización en Biotecnología,http://www.cseuami.org/documentos/posgrado/cursos/62.txt
74,Acupuntura y Fitoterapia,http://www.cseuami.org/documentos/posgrado/cursos/107.txt
75,Biología Experimental ,http://www.cseuami.org/documentos/posgrado/cursos/116.txt
76,Biología,http://www.cseuami.org/documentos/posgrado/cursos/117.txt
77,Ciencias Biológicas y de la Salud,http://www.cseuami.org/documentos/posgrado/cursos/146.txt
78,Ciencias Antropológicas ,http://www.cseuami.org/documentos/posgrado/cursos/51.txt
79,Estudios Organizacionales ,http://www.cseuami.org/documentos/posgrado/cursos/98.txt
80,Humanidades ,http://www.cseuami.org/documentos/posgrado/cursos/99.txt
81,Estudios Sociales ,http://www.cseuami.org/documentos/posgrado/cursos/104.txt
82,Ciencias Económicas,http://www.cseuami.org/documentos/posgrado/cursos/110.txt
83,Posgrado Integral en Ciencias Administrativas,http://www.cseuami.org/documentos/posgrado/cursos/171.txt
84,Maestría y Doctorado en Psicología Social ,http://www.cseuami.org/documentos/posgrado/cursos/176.txt
85,"

                                        Conclusión de Créditos por Experiencia Laboral                
",http://www.cseuami.org/index.php/titulacion/ccel
86,Lineamiento Ciencias Básicas e Ingeniería ,http://www.divisional.cbiuami.org/images/consejo/lineamientos/alumnos/Alumnos_11.pdf
87,Solicitud de Servicios Escolares,http://www.cseuami.org/documentos/licenciatura/formatos/sol_servicios_escolares.pdf
88,"

                                        Especialización                
",http://www.cseuami.org/index.php/tramite-diploma-especializacion
89,Hoja de Datos Personales,http://www.cseuami.org/documentos/titulacion/formatos/datos_personales.pdf
90,Solicitud de Expedición de Diploma o Grado Académico,http://www.cseuami.org/documentos/titulacion/formatos/sol_exp_titulo_pos.pdf
91,No Adeudo de Material para Trámite de Título,http://www.cseuami.org/documentos/titulacion/formatos/no_adeudo_pos.pdf
92,Clave SEP Especialización,http://www.cseuami.org/documentos/titulacion/formatos/clave_sep_esp.pdf
93,"

                                        Maestría                
",http://www.cseuami.org/index.php/tramite-de-grado-de-maestria
